,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,sex_ratio,literacy_rate
489,Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,115163,3889,27533,87.0,50.0
490,Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,102040,3874,34609,89.0,51.0
491,Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,95582,5149,25220,92.0,53.0
492,Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,2239902,233701,5956,44008,98.0,59.0
493,Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,1773584,99466,3476,28719,91.0,57.0
494,Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,1921857,1754984,2403903,336056,19214,57583,91.0,65.0
495,Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,436497,109876,1830,9858,114.0,70.0
496,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,179483,47083,435,3595,109.0,69.0
497,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,193991,197614,280556,71524,899,5582,102.0,72.0
498,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,177726,37725,548,3159,98.0,68.0
499,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,239306,244133,345550,95421,1344,7932,102.0,71.0
500,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,407994,117239,1366,7831,108.0,66.0
501,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,1037839,254802,7883,28053,92.0,63.0
502,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,168597,161489,215126,52621,602,4104,96.0,65.0
503,West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,2232992,334670,4273,34128,96.0,62.0
504,West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,5247208,1049943,32323,141387,95.0,68.0
505,West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,2158447,333752,5210,39636,96.0,62.0
506,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,1083685,168069,2518,24318,96.0,65.0
507,West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,1315585,297176,10943,38065,97.0,71.0
508,West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,3605206,796953,30751,99261,94.0,74.0
509,West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,4078388,965258,31725,118459,96.0,74.0
510,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,2498780,382500,9322,48818,95.0,65.0
511,West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,3588137,927602,136618,252644,91.0,80.0
512,West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,2086432,297716,5357,63525,94.0,52.0
513,West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,4055834,541169,7951,79729,96.0,57.0
514,West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,3480555,623729,12787,77210,95.0,67.0
515,West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1624905,189889,3551,32862,96.0,55.0
516,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,1489667,199307,2883,31210,94.0,50.0
